,Title,US_Gross,Worldwide_Gross,US_DVD_Sales,Production_Budget,Release_Date,MPAA_Rating,Running_Time_min,Distributor,Source,Major_Genre,Creative_Type,Director,Rotten_Tomatoes_Rating,IMDB_Rating,IMDB_Votes,year,month,month_name,day,day_of_week,rt_normalized,profit,profit_ratio,overseas_gross
793,The Rock,134069511.0,336069511.0,,75000000.0,1996-06-07,R,136.0,Walt Disney Pictures,Original Screenplay,Action,Contemporary Fiction,Michael Bay,66.0,7.2,108324.0,1996,6,June,7,Friday,6.6,261069511.0,3.4809268133333333,202000000.0
794,The Remains of the Day,22954968.0,63954968.0,,15000000.0,1993-11-05,,,Sony/Columbia,Based on Book/Short Story,Drama,Historical Fiction,James Ivory,97.0,7.9,21736.0,1993,11,November,5,Friday,9.7,48954968.0,3.2636645333333334,41000000.0
795,Airplane!,83453539.0,83453539.0,,3500000.0,1980-07-04,,,,Original Screenplay,Comedy,,Jerry Zucker,98.0,7.8,57000.0,1980,7,July,4,Friday,9.8,79953539.0,22.843868285714287,0.0
796,Repo Man,2300000.0,2300000.0,,1500000.0,1984-03-02,,,Universal,Original Screenplay,Comedy,Science Fiction,,97.0,6.7,12438.0,1984,3,March,2,Friday,9.7,800000.0,0.5333333333333333,0.0
797,Rocket Singh: Salesman of the Year,164649.0,5348767.0,,1070000.0,2009-12-11,,,Yash Raj Films,,,,,,7.5,1436.0,2009,12,December,11,Friday,,4278767.0,3.998847663551402,5184118.0
798,Raise the Titanic,7000000.0,7000000.0,,40000000.0,1980-08-01,PG,,,,,,,60.0,3.9,1757.0,1980,8,August,1,Friday,6.0,-33000000.0,-0.825,0.0
799,Restoration,4100000.0,4100000.0,,18000000.0,1995-12-29,R,,Miramax,Based on Book/Short Story,Drama,Historical Fiction,,,6.5,4024.0,1995,12,December,29,Friday,,-13900000.0,-0.7722222222222223,0.0
800,The Return of the Living Dead,14237880.0,14237880.0,,4000000.0,1985-08-16,,,Orion Pictures,,Horror,Science Fiction,,88.0,7.1,13621.0,1985,8,August,16,Friday,8.8,10237880.0,2.55947,0.0
801,Rejsen til Saturn,0.0,2783634.0,,2700000.0,2008-09-26,,,,Original Screenplay,Comedy,Science Fiction,,,5.9,849.0,2008,9,September,26,Friday,,83634.0,0.030975555555555555,2783634.0
802,Return to the Land of Wonders,1338.0,1338.0,,5000.0,2005-07-13,Not Rated,,Arab Film Distribution,,Documentary,Factual,,,8.5,35.0,2005,7,July,13,Wednesday,,-3662.0,-0.7324,0.0
803,Return to Oz,10618813.0,10618813.0,,27000000.0,1985-06-21,,,Walt Disney Pictures,Based on Book/Short Story,Adventure,Fantasy,,55.0,6.7,7491.0,1985,6,June,21,Friday,5.5,-16381187.0,-0.6067106296296296,0.0
804,The Running Man,38122000.0,38122000.0,,30000000.0,1987-11-13,,,Sony/TriStar,Based on Book/Short Story,Action,Science Fiction,Paul Michael Glaser,63.0,6.4,36308.0,1987,11,November,13,Friday,6.3,8122000.0,0.2707333333333333,0.0
805,Run Lola Run,7267324.0,14533173.0,,1750000.0,1999-06-18,R,,Sony Pictures,Original Screenplay,Thriller/Suspense,Contemporary Fiction,Tom Tykwer,,6.0,91.0,1999,6,June,18,Friday,,12783173.0,7.304670285714286,7265849.0
806,Revolution#9,9118.0,9118.0,,350000.0,2002-11-15,,,,,Thriller/Suspense,,,,7.3,252.0,2002,11,November,15,Friday,,-340882.0,-0.9739485714285714,0.0
807,The River Wild,46815000.0,94215000.0,,45000000.0,1994-09-30,PG-13,,Universal,Original Screenplay,Action,Contemporary Fiction,Curtis Hanson,56.0,6.2,14285.0,1994,9,September,30,Friday,5.6,49215000.0,1.0936666666666666,47400000.0
808,Se7en,100125643.0,328125643.0,,30000000.0,1995-09-22,R,,New Line,Original Screenplay,Thriller/Suspense,Contemporary Fiction,David Fincher,,8.7,278918.0,1995,9,September,22,Friday,,298125643.0,9.937521433333334,228000000.0
809,Safe Men,21210.0,21210.0,,1000000.0,1998-08-07,R,,October Films,,,,,58.0,5.9,1743.0,1998,8,August,7,Friday,5.8,-978790.0,-0.97879,0.0
810,Secrets & Lies,13417292.0,13417292.0,,4500000.0,1996-09-28,R,,October Films,Original Screenplay,Drama,Contemporary Fiction,Mike Leigh,94.0,7.9,14364.0,1996,9,September,28,Saturday,9.4,8917292.0,1.9816204444444445,0.0
811,Sgt. Bilko,30356589.0,37956589.0,,39000000.0,1996-03-29,PG,93.0,Universal,Based on TV,Comedy,Contemporary Fiction,,33.0,5.2,9693.0,1996,3,March,29,Friday,3.3,-1043411.0,-0.026754128205128205,7600000.0
812,Sabrina,53458319.0,87100000.0,,58000000.0,1995-12-15,PG,,Paramount Pictures,Remake,Romantic Comedy,Contemporary Fiction,Sydney Pollack,61.0,6.0,15749.0,1995,12,December,15,Friday,6.1,29100000.0,0.5017241379310344,33641681.0
813,Subway,390659.0,1663296.0,,2000000.0,1985-11-06,,,Island/Alive,Original Screenplay,Drama,Contemporary Fiction,Luc Besson,86.0,6.2,5904.0,1985,11,November,6,Wednesday,8.6,-336704.0,-0.168352,1272637.0
814,School Daze,14545844.0,14545844.0,,6000000.0,1988-02-12,,,Sony Pictures,Original Screenplay,Drama,Contemporary Fiction,Spike Lee,58.0,5.3,2667.0,1988,2,February,12,Friday,5.8,8545844.0,1.4243073333333334,0.0
815,Scarface,44942821.0,44942821.0,15386092.0,25000000.0,1983-12-09,Not Rated,,Universal,Remake,Drama,Historical Fiction,Brian De Palma,88.0,8.2,152262.0,1983,12,December,9,Friday,8.8,19942821.0,0.79771284,0.0
816,Schindler's List,96067179.0,321200000.0,,25000000.0,1993-12-15,R,,Universal,Based on Real Life Events,Drama,Dramatization,Steven Spielberg,97.0,8.9,276283.0,1993,12,December,15,Wednesday,9.7,296200000.0,11.848,225132821.0
817,A Streetcar Named Desire,8000000.0,8000000.0,,1800000.0,1951-09-18,,,Warner Bros.,Based on Play,,,Elia Kazan,,8.1,33781.0,1951,9,September,18,Tuesday,,6200000.0,3.4444444444444446,0.0
818,Shadow Conspiracy,2154540.0,2154540.0,,45000000.0,1997-01-31,R,,Walt Disney Pictures,Original Screenplay,Thriller/Suspense,Contemporary Fiction,George P. Cosmatos,,4.7,2427.0,1997,1,January,31,Friday,,-42845460.0,-0.9521213333333334,0.0
819,Short Cut to Nirvana: Kumbh Mela,381225.0,439651.0,,200000.0,2004-10-22,Not Rated,,Mela Films,Based on Real Life Events,Documentary,Factual,,75.0,6.9,105.0,2004,10,October,22,Friday,7.5,239651.0,1.198255,58426.0
820,Spartacus,30000000.0,60000000.0,,12000000.0,1960-10-07,,,Universal,Based on Book/Short Story,Action,Dramatization,Stanley Kubrick,96.0,8.0,50856.0,1960,10,October,7,Friday,9.6,48000000.0,4.0,30000000.0
821,Sunday,410919.0,450349.0,,450000.0,1997-08-22,,,,,Drama,,,79.0,6.9,436.0,1997,8,August,22,Friday,7.9,349.0,0.0007755555555555556,39430.0
822,She Done Him Wrong,2000000.0,2000000.0,,200000.0,2033-02-09,,,,,,,,100.0,6.7,1795.0,1933,2,February,9,Wednesday,10.0,1800000.0,9.0,0.0
823,"Secret, The",0.0,0.0,65505095.0,3500000.0,2006-11-07,Not Rated,,,,Documentary,,,,,,2006,11,November,7,Tuesday,,-3500000.0,-1.0,0.0
824,Sea Rex 3D: Journey to a Prehistoric World,0.0,0.0,,5000000.0,1969-12-31,,,3D Entertainment,,,,,,,,1969,12,December,31,Wednesday,,-5000000.0,-1.0,0.0
825,State Fair,3500000.0,3500000.0,,4500000.0,1962-03-09,,,,,,,,14.0,5.7,436.0,1962,3,March,9,Friday,1.4,-1000000.0,-0.2222222222222222,0.0
826,Sticky Fingers of Time,18195.0,20628.0,,250000.0,1999-01-08,,,Strand,,Thriller/Suspense,,,,,,1999,1,January,8,Friday,,-229372.0,-0.917488,2433.0
827,Stargate - The Ark of Truth,0.0,0.0,8962832.0,7000000.0,2008-03-11,,,,Based on TV,Action,Science Fiction,,,,,2008,3,March,11,Tuesday,,-7000000.0,-1.0,0.0
828,She's Gotta Have It,7137502.0,7137502.0,,175000.0,1986-08-08,,,Island,Original Screenplay,Comedy,Contemporary Fiction,Spike Lee,93.0,6.2,2594.0,1986,8,August,8,Friday,9.3,6962502.0,39.78572571428571,0.0
829,Stargate,71565669.0,196565669.0,,55000000.0,1994-10-28,PG-13,,MGM,Original Screenplay,Action,Science Fiction,Roland Emmerich,46.0,6.7,47174.0,1994,10,October,28,Friday,4.6,141565669.0,2.5739212545454544,125000000.0
830,The Shadow,31835600.0,31835600.0,,40000000.0,1994-07-01,PG-13,,Universal,Based on Comic/Graphic Novel,Action,Super Hero,Russell Mulcahy,34.0,5.6,9530.0,1994,7,July,1,Friday,3.4,-8164400.0,-0.20411,0.0
831,Show Boat,11000000.0,11000000.0,,2300000.0,1951-09-24,,,,,,,,89.0,6.9,1788.0,1951,9,September,24,Monday,8.9,8700000.0,3.782608695652174,0.0
832,Shadowlands,25842377.0,25842377.0,,22000000.0,1993-12-29,R,,Savoy,Based on Play,Drama,Dramatization,Sir Richard Attenborough,96.0,7.4,7689.0,1993,12,December,29,Wednesday,9.6,3842377.0,0.1746535,0.0
833,Shanghai Surprise,2315000.0,2315000.0,,17000000.0,1986-08-29,,,MGM,,,,,14.0,2.6,2591.0,1986,8,August,29,Friday,1.4,-14685000.0,-0.8638235294117647,0.0
834,Shalako,2620000.0,2620000.0,,1455000.0,1967-12-31,,,,,,,,,5.3,1090.0,1967,12,December,31,Sunday,,1165000.0,0.8006872852233677,0.0
835,Sheena,5778353.0,5778353.0,,25000000.0,1984-08-17,,,Sony/Columbia,Based on Comic/Graphic Novel,Adventure,Contemporary Fiction,John Guillermin,38.0,4.3,1598.0,1984,8,August,17,Friday,3.8,-19221647.0,-0.76886588,0.0
836,Shine,35811509.0,35811509.0,,5500000.0,1996-11-22,PG-13,105.0,Fine Line,Based on Real Life Events,Drama,Dramatization,Scott Hicks,90.0,7.6,22439.0,1996,11,November,22,Friday,9.0,30311509.0,5.5111834545454546,0.0
837,The Shining,44017374.0,44017374.0,,19000000.0,1980-05-23,,,Warner Bros.,Based on Book/Short Story,Horror,Fantasy,Stanley Kubrick,87.0,8.5,177762.0,1980,5,May,23,Friday,8.7,25017374.0,1.3167038947368421,0.0
838,Haakon Haakonsen,15024232.0,15024232.0,,8500000.0,1991-03-01,,,Walt Disney Pictures,Based on Book/Short Story,Adventure,Historical Fiction,,,6.4,1125.0,1991,3,March,1,Friday,,6524232.0,0.7675567058823529,0.0
839,Ishtar,14375181.0,14375181.0,,40000000.0,1987-05-15,,,Sony Pictures,Original Screenplay,Comedy,Contemporary Fiction,,19.0,3.7,6094.0,1987,5,May,15,Friday,1.9,-25624819.0,-0.640620475,0.0
840,Showgirls,20254932.0,20254932.0,,40000000.0,1995-09-22,NC-17,,MGM,Original Screenplay,Drama,Contemporary Fiction,Paul Verhoeven,12.0,4.1,27004.0,1995,9,September,22,Friday,1.2,-19745068.0,-0.4936267,0.0
841,The Shawshank Redemption,28241469.0,28241469.0,,25000000.0,1994-09-23,R,,Sony Pictures,Based on Book/Short Story,Drama,Historical Fiction,Frank Darabont,88.0,9.2,519541.0,1994,9,September,23,Friday,8.8,3241469.0,0.12965876,0.0
842,Silver Bullet,10803211.0,10803211.0,,7000000.0,1985-10-11,,,Paramount Pictures,Based on Book/Short Story,Horror,Fantasy,,50.0,5.9,6387.0,1985,10,October,11,Friday,5.0,3803211.0,0.5433158571428571,0.0
843,Side Effects,44701.0,44701.0,,200000.0,2005-09-09,R,,Sky Island,Original Screenplay,Romantic Comedy,,,11.0,,,2005,9,September,9,Friday,1.1,-155299.0,-0.776495,0.0
844,Set It Off,36049108.0,36049108.0,,9000000.0,1996-11-06,R,120.0,New Line,Original Screenplay,Drama,Contemporary Fiction,F. Gary Gray,61.0,6.3,4570.0,1996,11,November,6,Wednesday,6.1,27049108.0,3.0054564444444445,0.0
845,The Silence of the Lambs,130726716.0,275726716.0,,20000000.0,1991-02-14,,,Orion Pictures,Based on Book/Short Story,Thriller/Suspense,Contemporary Fiction,Jonathan Demme,96.0,8.7,244856.0,1991,2,February,14,Thursday,9.6,255726716.0,12.7863358,145000000.0
846,Silver Medalist,0.0,0.0,,2600000.0,2008-02-29,,,,Original Screenplay,Black Comedy,Contemporary Fiction,,,,,2008,2,February,29,Friday,,-2600000.0,-1.0,0.0
847,Silent Trigger,76382.0,76382.0,,15000000.0,1996-06-26,,,,,,,Russell Mulcahy,,5.2,1364.0,1996,6,June,26,Wednesday,,-14923618.0,-0.9949078666666666,0.0
848,Thinner,15171475.0,15171475.0,,14000000.0,1996-10-25,R,93.0,Paramount Pictures,Based on Book/Short Story,Horror,Fantasy,,18.0,5.3,7888.0,1996,10,October,25,Friday,1.8,1171475.0,0.08367678571428572,0.0
849,Sling Blade,24475416.0,34175000.0,,4833610.0,1996-11-20,R,133.0,Miramax,Based on Short Film,Drama,Contemporary Fiction,,96.0,8.0,41785.0,1996,11,November,20,Wednesday,9.6,29341390.0,6.070284942310199,9699584.0
850,Slacker,1227508.0,1227508.0,,23000.0,1991-08-01,,,,,,,Richard Linklater,83.0,6.9,5907.0,1991,8,August,1,Thursday,8.3,1204508.0,52.36991304347826,0.0
851,Some Like it Hot,25000000.0,25000000.0,,2883848.0,1959-03-29,,,,,,,Billy Wilder,97.0,8.3,67157.0,1959,3,March,29,Sunday,9.7,22116152.0,7.6689728446159435,0.0
852,The Scarlet Letter,10359006.0,10359006.0,,50000000.0,1995-10-13,R,,Walt Disney Pictures,Based on Book/Short Story,Drama,Historical Fiction,Roland Joffe,15.0,4.6,6155.0,1995,10,October,13,Friday,1.5,-39640994.0,-0.79281988,0.0
853,Silmido,298347.0,30298347.0,,8500000.0,2004-04-23,Not Rated,,Cinema Service,,Action,,,,7.1,1724.0,2004,4,April,23,Friday,,21798347.0,2.564511411764706,30000000.0
854,Sleeper,18344729.0,18344729.0,,2000000.0,1973-12-17,,,MGM,Original Screenplay,Comedy,,Woody Allen,100.0,7.3,15466.0,1973,12,December,17,Monday,10.0,16344729.0,8.1723645,0.0
855,Sleepers,53300852.0,165600852.0,,44000000.0,1996-10-18,R,105.0,Warner Bros.,Based on Book/Short Story,Drama,Dramatization,Barry Levinson,73.0,7.3,51874.0,1996,10,October,18,Friday,7.3,121600852.0,2.7636557272727273,112300000.0
856,The Slaughter Rule,13134.0,13134.0,,500000.0,2003-01-10,R,,,,,,,,6.0,1136.0,2003,1,January,10,Friday,,-486866.0,-0.973732,0.0
857,Solomon and Sheba,11000000.0,11000000.0,,5000000.0,1959-01-01,,,,,,,King Vidor,,6.0,915.0,1959,1,January,1,Thursday,,6000000.0,1.2,0.0
858,Sur Le Seuil,2013052.0,2013052.0,,2500000.0,2003-10-03,Not Rated,,Alliance,Based on Book/Short Story,Drama,Contemporary Fiction,,,6.7,585.0,2003,10,October,3,Friday,,-486948.0,-0.1947792,0.0
859,The Usual Suspects,23341568.0,23341568.0,,6000000.0,1995-08-16,R,,Gramercy,Original Screenplay,Drama,Contemporary Fiction,Bryan Singer,87.0,8.7,266890.0,1995,8,August,16,Wednesday,8.7,17341568.0,2.890261333333333,0.0
860,Silverado,33200000.0,33200000.0,,26000000.0,1985-07-10,,,Sony/Columbia,Original Screenplay,Western,Historical Fiction,Lawrence Kasdan,76.0,7.0,14243.0,1985,7,July,10,Wednesday,7.6,7200000.0,0.27692307692307694,0.0
861,Salvador,1500000.0,1500000.0,,4500000.0,1986-04-23,,,Hemdale,Original Screenplay,Drama,,,91.0,7.5,7797.0,1986,4,April,23,Wednesday,9.1,-3000000.0,-0.6666666666666666,0.0
862,"Sex, Lies, and Videotape",24741667.0,36741667.0,,1200000.0,1989-08-04,,,Miramax,,,,Steven Soderbergh,97.0,,,1989,8,August,4,Friday,9.7,35541667.0,29.618055833333333,12000000.0
863,Show Me,0.0,0.0,,400000.0,2005-11-04,R,,Wolfe Releasing,Original Screenplay,Thriller/Suspense,Contemporary Fiction,,,5.9,288.0,2005,11,November,4,Friday,,-400000.0,-1.0,0.0
864,Simon,4055.0,4055.0,,1300000.0,2006-04-07,,,Strand,Original Screenplay,Comedy,Contemporary Fiction,,,8.0,4873.0,2006,4,April,7,Friday,,-1295945.0,-0.9968807692307692,0.0
865,Super Mario Bros.,20844907.0,20844907.0,,42000000.0,1993-05-28,,,Walt Disney Pictures,Based on Game,Action,Fantasy,,,3.8,17281.0,1993,5,May,28,Friday,,-21155093.0,-0.5036926904761905,0.0
866,Somewhere in Time,9709597.0,9709597.0,,5100000.0,1980-10-03,,,Universal,Based on Book/Short Story,Drama,Fantasy,,63.0,7.0,8787.0,1980,10,October,3,Friday,6.3,4609597.0,0.9038425490196078,0.0
867,Smoke Signals,6719300.0,7756617.0,,2000000.0,1998-06-26,PG-13,,Miramax,Based on Book/Short Story,Comedy,Contemporary Fiction,,86.0,6.9,5058.0,1998,6,June,26,Friday,8.6,5756617.0,2.8783085,1037317.0
868,Serial Mom,7881335.0,7881335.0,,13000000.0,1994-04-13,R,,Savoy,Original Screenplay,Comedy,Contemporary Fiction,John Waters,61.0,6.4,10999.0,1994,4,April,13,Wednesday,6.1,-5118665.0,-0.3937434615384615,0.0
869,Sommersturm,95204.0,95204.0,,3000000.0,2006-03-17,R,,Regent Releasing,Original Screenplay,Drama,Contemporary Fiction,,,7.6,5251.0,2006,3,March,17,Friday,,-2904796.0,-0.9682653333333333,0.0
870,Silent Movie,36145695.0,36145695.0,,4400000.0,1976-06-25,,,20th Century Fox,Original Screenplay,Comedy,,Mel Brooks,89.0,6.4,6248.0,1976,6,June,25,Friday,8.9,31745695.0,7.214930681818182,0.0
871,The Santa Clause,144833357.0,189800000.0,,22000000.0,1994-11-11,PG,,Walt Disney Pictures,Original Screenplay,Comedy,Kids Fiction,John Pasquin,79.0,6.1,17773.0,1994,11,November,11,Friday,7.9,167800000.0,7.627272727272727,44966643.0
872,The Singles Ward,1250798.0,1250798.0,,500000.0,2002-02-01,PG,,Halestorm Entertainment,Original Screenplay,Comedy,Contemporary Fiction,,50.0,5.7,736.0,2002,2,February,1,Friday,5.0,750798.0,1.501596,0.0
873,Sense and Sensibility,42993774.0,134993774.0,,16500000.0,1995-12-11,PG,,Sony Pictures,Based on Book/Short Story,Drama,Historical Fiction,Ang Lee,98.0,7.7,31279.0,1995,12,December,11,Monday,9.8,118493774.0,7.181440848484849,92000000.0
874,Singin' in the Rain,3600000.0,3600000.0,,2540000.0,1952-04-10,,,MGM,,,,Stanley Donen,100.0,8.4,55352.0,1952,4,April,10,Thursday,10.0,1060000.0,0.41732283464566927,0.0
875,Solitude,6260.0,6260.0,,200000.0,2005-01-07,Not Rated,,Indican Pictures,Original Screenplay,Drama,,,,4.8,82.0,2005,1,January,7,Friday,,-193740.0,-0.9687,0.0
876,The Sound of Music,163214286.0,286214286.0,,8200000.0,1965-04-01,,,20th Century Fox,Based on Book/Short Story,Musical,Historical Fiction,Robert Wise,81.0,6.3,45.0,1965,4,April,1,Thursday,8.1,278014286.0,33.904181219512196,123000000.0
877,She's the One,9482579.0,13795053.0,,3500000.0,1996-08-23,R,,Fox Searchlight,Original Screenplay,Romantic Comedy,Contemporary Fiction,Edward Burns,60.0,6.0,8159.0,1996,8,August,23,Friday,6.0,10295053.0,2.941443714285714,4312474.0
878,Straight out of Brooklyn,2712293.0,2712293.0,,450000.0,1990-12-31,,,,,,,,100.0,5.6,263.0,1990,12,December,31,Monday,10.0,2262293.0,5.027317777777778,0.0
879,Spaceballs,38119483.0,38119483.0,,22700000.0,1987-06-24,,,MGM,Original Screenplay,Comedy,Science Fiction,Mel Brooks,65.0,6.9,52434.0,1987,6,June,24,Wednesday,6.5,15419483.0,0.6792723788546255,0.0
880,Speed,121248145.0,283200000.0,,30000000.0,1994-06-10,R,,20th Century Fox,Original Screenplay,Action,Contemporary Fiction,Jan De Bont,90.0,2.6,4175.0,1994,6,June,10,Friday,9.0,253200000.0,8.44,161951855.0
881,Species,60054449.0,113354449.0,,35000000.0,1995-07-07,R,,MGM,Original Screenplay,Action,Science Fiction,Roger Donaldson,39.0,5.6,21917.0,1995,7,July,7,Friday,3.9,78354449.0,2.2386985428571426,53300000.0
882,Sphinx,2000000.0,11400000.0,,10000000.0,1981-02-11,,,Orion Pictures,Based on Book/Short Story,Thriller/Suspense,Contemporary Fiction,Franklin J. Schaffner,,4.9,478.0,1981,2,February,11,Wednesday,,1400000.0,0.14,9400000.0
883,Spaced Invaders,15000000.0,15000000.0,,3000000.0,1990-04-27,,,Walt Disney Pictures,Original Screenplay,Comedy,Science Fiction,Patrick Read Johnson,9.0,4.8,1464.0,1990,4,April,27,Friday,0.9,12000000.0,4.0,0.0
884,Spellbound,7000000.0,7000000.0,,1500000.0,1944-12-31,G,,ThinkFilm,,,,Alfred Hitchcock,87.0,7.7,14665.0,1944,12,December,31,Sunday,8.7,5500000.0,3.6666666666666665,0.0
885,Splash,62599495.0,62599495.0,,8000000.0,1984-03-09,,,Walt Disney Pictures,Original Screenplay,Comedy,Fantasy,Ron Howard,91.0,6.2,21732.0,1984,3,March,9,Friday,9.1,54599495.0,6.824936875,0.0
886,Superman IV: The Quest for Peace,11227824.0,11227824.0,,17000000.0,1987-07-24,,,Warner Bros.,Based on Comic/Graphic Novel,Action,Super Hero,Sidney J. Furie,,3.4,15164.0,1987,7,July,24,Friday,,-5772176.0,-0.3395397647058824,0.0
887,Superman II,108185706.0,108185706.0,,50000000.0,1981-06-19,,,Warner Bros.,Based on Comic/Graphic Novel,Adventure,Super Hero,Richard Donner,,6.7,29512.0,1981,6,June,19,Friday,,58185706.0,1.16371412,0.0
888,Superman III,59950623.0,59950623.0,,39000000.0,1983-06-17,,,Warner Bros.,Based on Comic/Graphic Novel,Adventure,Super Hero,,23.0,4.7,18070.0,1983,6,June,17,Friday,2.3,20950623.0,0.5371954615384615,0.0
889,Sparkler,5494.0,5494.0,,1000000.0,1999-03-19,R,,Strand,,,,,17.0,5.5,320.0,1999,3,March,19,Friday,1.7,-994506.0,-0.994506,0.0
890,Superman,134218018.0,300200000.0,,55000000.0,1978-12-15,PG,,Warner Bros.,Based on Comic/Graphic Novel,Adventure,Super Hero,Richard Donner,94.0,4.9,129.0,1978,12,December,15,Friday,9.4,245200000.0,4.458181818181818,165981982.0
891,The Specialist,57362581.0,57362581.0,,45000000.0,1994-10-07,R,,Warner Bros.,Based on Book/Short Story,Action,Contemporary Fiction,,4.0,4.9,18749.0,1994,10,October,7,Friday,0.4,12362581.0,0.2747240222222222,0.0
892,The Sorcerer,12000000.0,12000000.0,,21600000.0,1977-06-24,,,,,,,William Friedkin,,6.8,563.0,1977,6,June,24,Friday,,-9600000.0,-0.4444444444444444,0.0
893,Sisters in Law,33312.0,33312.0,,300000.0,2006-04-12,Not Rated,,Women Make Movies,Based on Real Life Events,Documentary,Factual,,,6.7,203.0,2006,4,April,12,Wednesday,,-266688.0,-0.88896,0.0
894,Smilla's Sense of Snow,2221994.0,2221994.0,,35000000.0,1997-02-28,R,,Fox Searchlight,Based on Book/Short Story,Thriller/Suspense,Contemporary Fiction,Bille August,53.0,6.1,7280.0,1997,2,February,28,Friday,5.3,-32778006.0,-0.9365144571428572,0.0
895,Assassins,30306268.0,83306268.0,,50000000.0,1995-10-06,R,,Warner Bros.,Original Screenplay,Action,Contemporary Fiction,Richard Donner,9.0,5.9,23370.0,1995,10,October,6,Friday,0.9,33306268.0,0.66612536,53000000.0
896,Star Trek: The Motion Picture,82258456.0,139000000.0,,35000000.0,1979-12-07,PG,,Paramount Pictures,Based on TV,Adventure,Science Fiction,Robert Wise,48.0,6.2,25454.0,1979,12,December,7,Friday,4.8,104000000.0,2.9714285714285715,56741544.0
897,Star Trek III: The Search for Spock,76471046.0,87000000.0,,18000000.0,1984-06-01,,,Paramount Pictures,Based on TV,Adventure,Science Fiction,Leonard Nimoy,,6.5,22261.0,1984,6,June,1,Friday,,69000000.0,3.8333333333333335,10528954.0
898,Star Trek IV: The Voyage Home,109713132.0,133000000.0,,24000000.0,1986-11-26,,,Paramount Pictures,Based on TV,Adventure,Science Fiction,Leonard Nimoy,,7.3,26207.0,1986,11,November,26,Wednesday,,109000000.0,4.541666666666667,23286868.0
899,Stand by Me,52287414.0,52287414.0,,8000000.0,1986-08-08,,,Sony/Columbia,Based on Book/Short Story,Drama,Historical Fiction,Rob Reiner,94.0,8.2,90143.0,1986,8,August,8,Friday,9.4,44287414.0,5.53592675,0.0
900,Stone Cold,9286314.0,9286314.0,,25000000.0,1991-05-17,R,,Sony Pictures,Original Screenplay,Action,Contemporary Fiction,,29.0,4.6,52.0,1991,5,May,17,Friday,2.9,-15713686.0,-0.62854744,0.0
901,The Stewardesses,13500000.0,25000000.0,,200000.0,1969-07-25,,,,,,,,,4.3,86.0,1969,7,July,25,Friday,,24800000.0,124.0,11500000.0
902,Street Fighter,33423000.0,99423000.0,,35000000.0,1994-12-23,PG-13,,Universal,Based on Game,Action,Contemporary Fiction,,13.0,3.3,25407.0,1994,12,December,23,Friday,1.3,64423000.0,1.8406571428571428,66000000.0
903,Star Trek II: The Wrath of Khan,79912963.0,96800000.0,,12000000.0,1982-06-04,PG,,Paramount Pictures,Based on TV,Adventure,Science Fiction,,,7.8,36131.0,1982,6,June,4,Friday,,84800000.0,7.066666666666666,16887037.0
904,Steal (Canadian Release),220944.0,220944.0,,15000000.0,2003-04-25,Not Rated,,,,,,,,,,2003,4,April,25,Friday,,-14779056.0,-0.9852704,0.0
905,The Sting,159616327.0,159616327.0,,5500000.0,1973-12-25,,,Universal,Original Screenplay,,Historical Fiction,George Roy Hill,91.0,8.4,65866.0,1973,12,December,25,Tuesday,9.1,154116327.0,28.021150363636362,0.0
906,Stonewall,304602.0,304602.0,,2000000.0,1996-07-26,R,99.0,Strand,Based on Real Life Events,Drama,Dramatization,,,7.0,741.0,1996,7,July,26,Friday,,-1695398.0,-0.847699,0.0
907,Star Trek V: The Final Frontier,52210049.0,70200000.0,,30000000.0,1989-06-09,,,Paramount Pictures,Based on TV,Action,Science Fiction,,,5.0,20600.0,1989,6,June,9,Friday,,40200000.0,1.34,17989951.0
908,Star Trek VI: The Undiscovered Country,74888996.0,96900000.0,,27000000.0,1991-12-06,,,Paramount Pictures,Based on TV,Action,Science Fiction,,,7.2,23546.0,1991,12,December,6,Friday,,69900000.0,2.588888888888889,22011004.0
909,Star Trek: Generations,75671262.0,120000000.0,,38000000.0,1994-11-18,PG,,Paramount Pictures,Based on TV,Adventure,Science Fiction,,,6.5,26465.0,1994,11,November,18,Friday,,82000000.0,2.1578947368421053,44328738.0
910,Stripes,85300000.0,85300000.0,,10000000.0,1981-06-26,R,,Sony Pictures,Original Screenplay,Comedy,Contemporary Fiction,Ivan Reitman,88.0,6.8,19618.0,1981,6,June,26,Friday,8.8,75300000.0,7.53,0.0
911,Striptease,32773011.0,32773011.0,,50000000.0,1996-06-28,R,115.0,Sony Pictures,Based on Book/Short Story,Comedy,Contemporary Fiction,Andrew Bergman,12.0,3.9,18012.0,1996,6,June,28,Friday,1.2,-17226989.0,-0.34453978,0.0
912,Star Wars Ep. IV: A New Hope,460998007.0,797900000.0,11182540.0,11000000.0,1977-05-25,PG,,20th Century Fox,Original Screenplay,Adventure,Science Fiction,George Lucas,,,,1977,5,May,25,Wednesday,,786900000.0,71.53636363636363,336901993.0
913,Saints and Soldiers,1310470.0,1310470.0,,780000.0,2004-08-06,PG-13,90.0,Excel Entertainment,Based on Real Life Events,Drama,Dramatization,Ryan Little,,7.0,7581.0,2004,8,August,6,Friday,,530470.0,0.6800897435897436,0.0
